Title,Author,Rating,Genres
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,"['Young Adult', 'Fiction', 'Fantasy', 'Science Fiction', 'Audiobook', 'Teen', 'Post Apocalyptic']"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure']"
Pride and Prejudice,Jane Austen,4.29,"['Fiction', 'Historical Fiction', 'Historical', 'Literature', 'Audiobook', 'Novels', 'Historical Romance']"
To Kill a Mockingbird,Harper Lee,4.26,"['Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical', 'Read For School']"
The Book Thief,Markus Zusak,4.39,"['Historical Fiction', 'Fiction', 'Young Adult', 'Classics', 'Historical', 'War', 'World War II']"
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.66,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Vampires', 'Paranormal', 'Paranormal Romance']"
Animal Farm,George Orwell,3.99,"['Fiction', 'Dystopia', 'Fantasy', 'School', 'Literature', 'Science Fiction', 'Novels']"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy']"
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Middle Grade']"
The Fault in Our Stars,John Green,4.13,"['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Novels']"
The Picture of Dorian Gray,Oscar Wilde,4.13,"['Classics', 'Fiction', 'Horror', 'Fantasy', 'Gothic', 'Literature', 'Novels']"
The Giving Tree,Shel Silverstein,4.38,"['Childrens', 'Classics', 'Fiction', 'Picture Books', 'Poetry', 'Young Adult', 'Fantasy']"
Wuthering Heights,Emily Brontë,3.89,"['Fiction', 'Gothic', 'Historical Fiction', 'Literature', 'Historical', '19th Century', 'Novels']"
Gone with the Wind,Margaret Mitchell,4.31,"['Historical Fiction', 'Fiction', 'Romance', 'Classics', 'Historical', 'Literature', 'War']"
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']"
The Perks of Being a Wallflower,Stephen Chbosky,4.23,"['Young Adult', 'Fiction', 'Classics', 'Coming Of Age', 'Romance', 'Mental Health', 'Realistic Fiction']"
Jane Eyre,Charlotte Brontë,4.15,"['Classics', 'Fiction', 'Gothic', 'Historical Fiction', 'Literature', 'Historical', 'School']"
The Little Prince,Antoine de Saint-Exupéry,4.33,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult']"
The Great Gatsby,F. Scott Fitzgerald,3.93,"['Fiction', 'School', 'Historical Fiction', 'Romance', 'Literature', 'Novels', 'Read For School']"
"The da Vinci Code (Robert Langdon, #2)",Dan       Brown,3.92,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Historical Fiction', 'Suspense', 'Adventure']"
Crime and Punishment,Fyodor Dostoevsky,4.27,"['Fiction', 'Russia', 'Russian Literature', 'Literature', 'Philosophy', 'Novels', 'Crime']"
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,"['Fantasy', 'Fiction', 'Classics', 'Childrens', 'Young Adult', 'Literature', 'Adventure']"
"Divergent (Divergent, #1)",Veronica Roth,4.14,"['Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Romance', 'Teen']"
